platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,trymacs,Trymacs,64342766,594791,33690,19663,1815,6697,1734275,Clash of Clans,https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-300x300.png,DE,de,partner,Male
twitch,noway4u_sir,NoWay4u_Sir,85397463,593926,21884,14114,2525,1123,1077404,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-300x300.png,DE,de,partner,Male
twitch,alanzoka,alanzoka,38244180,592792,31748,17225,2065,9361,1829677,Call of Duty: Modern Warfare II,https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-300x300.png,BR,pt,partner,Male
twitch,casimito,casimito,254489093,581358,47059,20951,1665,6460,1401878,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-300x300.png,BR,pt,partner,Male
twitch,k4sen,k4sen,44525650,574401,27931,11413,3020,5561,1625251,Astroneer,https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-300x300.png,JP,ja,partner,Male
twitch,hanryang1125,풍월량,103825127,572087,18551,12978,2645,415,1275749,Bunker Life,https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-300x300.png,KR,ko,partner,Male
twitch,nickmercs,NICKMERCS,15564828,571387,30565,17673,1940,2574,1825922,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-300x300.png,US,en,partner,Male
twitch,pgl_dota2en4,PGL_DOTA2EN4,194702141,569153,99928,27430,1245,10102,3603919,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/bc90f4eb-40bf-46bd-9d32-7ea2da2e38f3-profile_image-300x300.png,RO,en,partner,Organization
twitch,shuteye_orange,蝦愛橘子,25202416,552885,6934,3302,10050,337,382611,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/e496689c-5e8f-44a6-8733-b3c5b6e17e19-profile_image-300x300.png,TW,zh,partner,Male
twitch,tumblurr,Tumblurr,77827128,547317,33579,14278,2300,4014,1705445,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/8cabb91c-1fea-41f3-ac28-2938e918ead4-profile_image-300x300.jpeg,IT,it,partner,Male
twitch,mizkif,Mizkif,94753024,543651,33752,20581,1585,-7035,1732746,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-300x300.png,US,en,partner,Male
twitch,kamet0,Kamet0,27115917,537523,53335,14399,2240,2064,1851634,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg,FR,fr,partner,Male
twitch,sodapoppin,sodapoppin,26301881,522790,33228,16169,1940,2335,1525946,Scorn,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male
twitch,quin69,Quin69,56649026,520853,17408,10928,2860,1138,882399,Terraria,https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-300x300.png,NZ,en,partner,Male
twitch,elraenn,Elraenn,165080419,506850,31505,19621,1550,8134,2110881,Ranch Simulator,https://static-cdn.jtvnw.net/jtv_user_pictures/0294fec8-8572-4517-9b60-12e0705a8893-profile_image-300x300.png,TR,tr,partner,Male
twitch,granhermanolive,GranHermanoLive,838404399,504728,38076,8691,3485,88466,,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/0e4212ae-1913-41c4-b71e-f3942c7c3933-profile_image-300x300.png,,es,without status,Organization
twitch,gabepeixe,gabepeixe,59799994,496420,17231,9109,3270,6866,4552160,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/5bb6bc7d-4371-4f10-8827-7dc925f83230-profile_image-300x300.png,BR,pt,partner,Male
twitch,yourragegaming,yourragegaming,36926489,495733,95809,23892,1245,15968,2370123,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/70c63d12-ecae-485c-9bca-3d3f3ad5782a-profile_image-300x300.png,US,en,partner,Male
twitch,penta,PENTA,84316241,475243,11083,6140,4645,1085,617936,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/2a74b7da-4c2f-4a20-8a02-c7d77064c281-profile_image-300x300.png,US,en,partner,Male
twitch,ml7support,mL7support,51929371,461338,19011,8719,3175,9856,888657,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/94286e18-367b-4795-98a5-d8dd530d4d0a-profile_image-300x300.png,RO,en,partner,Male
twitch,hiswattson,HisWattson,123182260,455024,10824,7019,3890,9962,1297636,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/e44c46fc-5244-4a88-9ac4-4b859c242904-profile_image-300x300.png,US,en,partner,Male
twitch,cohhcarnage,CohhCarnage,26610234,451668,15686,8018,3380,734,614118,A Plague Tale: Requiem,https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-300x300.png,US,en,partner,Male
twitch,amouranth,Amouranth,125387632,443256,82294,25947,1025,53294,3950735,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/73a412eb-6d1c-4a1d-8711-aca8e1d144cb-profile_image-300x300.png,US,en,partner,Female
twitch,tfue,Tfue,60056333,439765,17419,11498,2295,7764,1773438,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-300x300.png,US,en,partner,Male
twitch,emongg,Emongg,23220337,438503,23101,6505,4045,9532,812438,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/10c36ad0a4756df8-profile_image-300x300.png,US,en,partner,Male
twitch,obm1025,오킹,166079347,438494,13558,6952,3785,10984,1872920,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0bd71b32-6417-471c-8196-d58df1a0105d-profile_image-300x300.jpg,KR,ko,partner,Male
twitch,sinatraa,sinatraa,138094916,437342,23209,10822,2425,12332,598640,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/d5de7613-5632-4c20-bf83-132f5e4c28ac-profile_image-300x300.png,US,en,partner,Male
twitch,nmplol,Nmplol,21841789,436577,30039,15230,1720,1302,1334018,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/e4d9bf96-311d-487a-b5eb-9f9a94e0f795-profile_image-300x300.png,US,en,partner,Male
twitch,rebirthztv,RebirthzTV,49839696,431381,24608,11109,2330,3310,1725001,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/fe4f106094bd5f06-profile_image-300x300.png,TH,th,partner,Male
twitch,ponce,Ponce,50597026,430154,19490,8533,3025,1606,1390119,Maitre des Fleurs,https://static-cdn.jtvnw.net/jtv_user_pictures/125bbc49-45d1-432c-92b3-f5aef1e7ab21-profile_image-300x300.png,FR,fr,partner,Male
twitch,elajjaz,Elajjaz,26921830,426107,10445,7054,3625,247,727016,Silent Hill: Homecoming,https://static-cdn.jtvnw.net/jtv_user_pictures/elajjaz-profile_image-fcfc55e0804b6bfd-300x300.png,SE,en,partner,Male
twitch,pgl_dota2en2,PGL_DOTA2EN2,194701696,418248,77914,21268,1180,5975,3015823,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/688a6429-24da-42cf-9b10-44894012de37-profile_image-300x300.png,RO,en,partner,Organization
twitch,lilpaaaaaa,릴파_,169700336,411749,16414,8594,2875,3414,1584881,Brotato,https://static-cdn.jtvnw.net/jtv_user_pictures/3b5e6d73-8935-449f-902b-1b94a386e137-profile_image-300x300.png,KR,ko,partner,Female
twitch,kyedae,Kyedae,445529741,410313,13487,9052,2720,18397,1594624,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/d7bab577-5fec-4ce7-9410-6bd46e0bce87-profile_image-300x300.png,CA,en,partner,Female
twitch,sleepy,slEEPy,135052907,403464,15282,5465,4430,12098,866490,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/sleepy-profile_image-407c8ad000eca3ff-300x300.jpeg,US,en,partner,Male
twitch,knekro,knekro,152633332,402218,36772,14239,1695,7455,1118765,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-300x300.jpeg,ES,es,partner,Male
twitch,aceu,aceu,88946548,397253,21546,13354,1785,6721,1265974,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/c7a4c96e-a434-4dfa-9bcf-6190995dd536-profile_image-300x300.png,US,en,partner,Male
twitch,moistcr1tikal,moistcr1tikal,132230344,396723,23075,12176,1955,12490,918443,Gotham Knights,https://static-cdn.jtvnw.net/jtv_user_pictures/df6f775d-8794-4cbe-aa85-dbdc72975696-profile_image-300x300.png,US,en,partner,Male
twitch,pgl_dota2en3,PGL_DOTA2EN3,194701994,394867,85044,17231,1375,8596,2729487,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/ca399b83-54bb-4e92-84f3-2f614fe56d52-profile_image-300x300.png,RO,en,partner,Organization
twitch,summonersinnlive,SummonersInnLive,40336240,391113,33328,9350,2510,1135,701732,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/09591203-8837-4d41-abd7-2f2e5ab5e451-profile_image-300x300.png,DE,de,partner,Organization
twitch,redbull,RedBull,44426109,381683,36717,14051,1630,10308,909398,Age of Empires II,https://static-cdn.jtvnw.net/jtv_user_pictures/cd0c92a3-96d1-411b-90c5-ac3f29d86485-profile_image-300x300.png,,en,partner,Organization
twitch,quickybaby,QuickyBaby,30623831,381559,14668,7122,3215,1948,485004,World of Tanks,https://static-cdn.jtvnw.net/jtv_user_pictures/53be9f2e-05d2-42fa-98f3-d392d8f7769f-profile_image-300x300.png,GB,en,partner,Male
twitch,rpglimitbreak,RPGLimitBreak,70518383,380744,13924,2522,9060,1719,611943,Stranger of Paradise: Final Fantasy Origin,https://static-cdn.jtvnw.net/jtv_user_pictures/rpglimitbreak-profile_image-98d82ef8f9414067-300x300.png,,en,partner,Organization
twitch,gronkh,GRONKH,12875057,380319,34048,19588,1165,3031,,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/gronkh-profile_image-76b34139eaa46bb5-300x300.png,DE,de,partner,Male
twitch,betboom_ru2,betboom_ru2,132188086,380090,67334,16118,1415,5009,2398535,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/34d8db4e-f497-4efb-b456-f8a33dada021-profile_image-300x300.png,RU,ru,partner,Organization
twitch,moonmoon,MOONMOON,121059319,378230,17014,11180,2030,215,812572,PGA Tour 2K23,https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-300x300.png,US,en,partner,Male
twitch,jerma985,Jerma985,23936415,373812,20286,15796,1420,11354,944068,Scorn,https://static-cdn.jtvnw.net/jtv_user_pictures/jerma985-profile_image-447425e773e6fd5c-300x300.jpeg,US,en,partner,Male
